Gene.Symbol, fold.change,P.Value
vapC51,-0.09,0.188806641
eccCb1,6.64,0.373900966
pstS2,0.86,0.043650653
lrpA,1.74,0.001954525
ftsH,6.64,0.116128246
ctpB,-0.02,0.852531491
aspB,2.41,0.413331992
mazG,-6.64,4.80571E-08
ltp2,-0.39,0.358253514
priA,2.29,0.000892569
hisI,-6.64,6.35669E-06
cpfC,-6.64,0.373900966
qcrC,2.53,0.001922895
prrB,1.25,0.48566965
ung,0.81,0.1628397
fabG2,-0.32,0.314627006
mpb63,1.3,0.010971699
XPB,0.05,0.084217175
malQ,0.64,0.860627697
fadD3,-2.9,0.407487104
hpt,-0.28,0.299509575
rplR,1.48,0.014460808
rpmA,2.86,0.142544717
tmk,-0.05,0.38082581
folB,-1.11,0.014596955
nuoN,6.64,0.1161166
ispH2,-1.06,0.076925876
vapC17,-0.49,0.105417815
aac,0.22,0.813343144
cyp138,1.42,0.015472189
argJ,-0.83,0.00475772
relA,6.64,2.8937E-08
truB,0.43,0.018178367
treY,-1.14,0.525873485
rpmJ,0.88,0.253894664
bacA,0.32,0.27552751
atpC,0.58,0.077621545
glnB,1.38,0.453710567
ureG,1.32,0.300979604
vapC10,1.78,0.013534351
cut6,1.14,0.002636156
fadD30,0.61,0.502236533
PPE3,0.96,0.263069626
pafC,0.36,0.487145787
gcvH,0.33,0.462998435
cyp136,-0.69,0.346518785
pknB,1.03,0.372235848
menC,-6.64,0.116124314
vapB45,0.94,0.131002352
chsH2,-0.12,0.515415064
nuoA,0.76,0.260485502
pknF,-0.77,0.122146546
espG1,-6.64,4.65477E-07
lipC,0.59,0.302663524
amiD,0.62,0.030642457
dagK,-0.39,0.193325953
lysX,-0.05,0.992327822
bpa,0.68,0.924665812
vapC27,0.11,0.101446217
glgM,0.28,0.294638857
espD,0.42,0.013972535
pptH,0.07,0.342428406
yidC,-0.27,0.879026302
menE,-0.96,0.545832131
narL,-0.23,0.045316904
pknA,0.9,0.090530617
espL,1.51,0.006081905
cspA,2.76,0.001688186
rpsT,2.01,0.012755722
rsmH,-2.48,0.249597607
bioB,0.52,0.099646332
mmpL7,-1.18,0.119935667
mprB,6.64,0.373900966
ponA1,0.91,0.051926079
mscL,1.51,0.088354804
rbpA,-0.31,0.463650217
fcoT,6.64,0.373900966
mca,-6.64,0.116119553
embB,0.66,0.311399767
cyp126,1,0.872486114
proB,-1.58,0.558548455
recF,0.53,0.492615171
ahpE,0.76,0.000438927
papA5,-1.14,0.418754975
esxA,0.74,0.325311983
rpsL,0.72,0.367770444
cobH,-0.7,0.901103658
lucA,2.53,0.077719197
rpe,1.29,0.001785564
embA,0.45,0.30901905
eccB1,-0.85,0.136195014
lprB,0.1,0.386430065
lepB,-0.57,0.50345571
fadE29,-0.15,0.537330093
thiD,-0.27,0.340098982
der,2.15,0.003985545
idsA2,0.49,0.057124778
lpqI,0.98,0.000699185
upp,-1.32,0.005498684
ipdA,-0.2,0.653593368
secY,3,0.067941476
htpX,-0.27,0.359428882
lipF,-0.03,0.30856584
lysX,-1.56,0.05766532
ctaE,6.64,3.59343E-09
moaE2,-6.64,1.35407E-06
glfT1,1.26,0.304998084
PPE19,0.17,0.105824966
ndh,-1.39,0.286800633
mmpS3,0.87,0.279805096
mazF6,1.01,0.49175982
lipR,0.72,0.4300534
moaC2,0.34,0.527364775
fbiC,1,0.549013287
trpG,-2.1,0.161369015
pknE,-0.17,0.991391611
rsfB,-2.52,0.584947514
rsmI,-1.69,0.471788571
oppD,-0.48,0.976994552
mazF5,-0.89,0.323327468
nuoM,0.34,0.12187234
ligD,0.03,0.403425247
blaC,-6.64,0.373900966
xseA,0.91,0.23230803
hemA,6.64,5.08169E-08
pstB1,0.84,0.496810468
drrA,0.39,0.302742452
mymA,0.29,0.510795456
purE,0.3,0.023929522
rsbW,-1.49,0.018321423
plcB,-0.45,0.126206715
mmpS4,-0.18,0.5135742
cmk,-0.45,0.297487002
prpR,-6.64,4.68352E-06
pgsA-1,3.35,0.038701985
trcR,-2.61,0.082435235
mmpS5,-2.28,0.041804607
rshA,0.4,0.064552718
trcS,6.64,6.08072E-07
metXA,-6.64,5.32593E-07
csm3,-6.64,0.373900966
aceA,-0.72,0.443394682
pimF,0.51,0.108581935
espH,1.49,0.013419078
cas6,2.38,0.26703827
lpqN,0.14,0.526548149
mutT3,0.1,0.188805517
esxK,6.64,2.29651E-06
mycP5,-1.68,0.058834067
ftsX,1.53,0.087573669
cyp137,6.64,0.116200654
mmpL4,0.21,0.344416251
ftsQ,0.82,0.10282707
uvrD2,6.64,0.373900966
rnc,-6.64,4.22264E-09
katG,0.27,0.149639454
rpmF,-0.17,0.338070363
eccE1,0.58,0.275217864
fadD22,0.5,0.987837692
narS,0.23,0.126355336
plcA,0.78,0.102537894
vapC37,-0.41,0.422040893
vapC11,2.07,0.26809869
moaE1,-6.64,0.128207277
mtb12,1.22,0.310245831
recA,1.36,0.461850429
